institution,retraction_count,median_citations,primary_country
Zhoukou Normal University,27,3.0,China
University of Ottawa,27,10.0,Canada
School of Marxism,27,2.0,China
Henan University of Urban Construction,27,1.0,China
Louisiana State University,27,14.0,United States
West China Second University Hospital,27,18.0,China
Nazarbayev University,27,1.0,Kazakhstan
Beijing University of Chemical Technology,27,4.0,China
Ferdowsi University of Mashhad,27,13.0,Iran
University of Mosul,27,6.0,Iraq
University of Nottingham,27,26.0,United Kingdom
Mayo Clinic,27,17.0,United States
Stony Brook University,27,13.0,Spain
University of Illinois,27,30.0,United States
The First Affiliated Hospital of Xi'an Jiaotong University,27,7.0,China
Yantaishan Hospital,27,5.0,China
The First Affiliated Hospital of Xi’an Jiaotong University,27,16.0,China
Wuhan Sports University,27,6.0,China
Hebei Agricultural University,27,4.0,China
Dongguk University,27,6.0,South Korea
National Research Centre,27,13.0,Egypt
Weifang People’s Hospital,27,6.0,China
Aligarh Muslim University,27,3.0,India
Baqiyatallah University of Medical Sciences,27,11.0,Iran
Tokyo Medical and Dental University,27,9.0,Japan
Xuchang University,27,3.0,China
Michigan State University,27,11.0,United States
Jahangirnagar University,27,9.0,Bangladesh
Kermanshah University of Medical Sciences,27,8.0,Iran
Macquarie University,27,22.0,Australia
Memorial Sloan-Kettering Cancer Center,27,73.0,United States
Jiamusi University,26,3.0,China
Xi’an Polytechnic University,26,3.0,China
Shaoxing University,26,1.0,China
Hospital of Chengdu University of Traditional Chinese Medicine,26,5.5,China
University of Kentucky,26,26.0,United States
Karpagam College of Engineering,26,5.5,India
Chengdu University,26,3.0,China
Hebei Normal University,26,3.0,China
Shandong University of Finance and Economics,26,3.5,China
Taiyuan University of Science and Technology,26,1.0,China
Tehran University,26,8.5,Iran
Clinical Laboratory,26,12.0,China
Jining No. 1 People’s Hospital,26,19.5,China
Qiqihar Medical University,26,6.0,China
The First Affiliated Hospital of Dalian Medical University,26,26.0,China
National Institute on Aging,26,33.5,United States
Dambi Dollo University,26,22.5,Ethiopia
Mahatma Gandhi Institute of Medical Sciences,26,0.0,India
Istanbul Technical University,26,17.0,Turkey
Galgotias University,26,22.5,India
Guizhou Medical University,26,10.5,China
Tokyo Medical and Dental University School of Medicine,26,28.5,Japan
Beijing Wuzi University,26,1.0,China
Central University of Finance and Economics,26,1.0,China
Beihua University,26,2.5,China
The Fourth Military Medical University,26,16.0,China
Wuyi University,26,4.0,China
Islamic Azad University (Saveh Branch),26,27.5,Iran
Shanghai Ocean University,26,0.5,China
National Cancer Institute,26,36.0,United States
Chinese Academy of Medical Sciences,25,4.0,China
Chongqing Vocational College of Transportation,25,1.0,China
Zhengzhou Preschool Education College,25,2.0,China
Minia University,25,14.0,Egypt
Lanzhou University of Technology,25,1.0,China
School of Information Engineering,25,3.0,China
RMIT University,25,9.0,Australia
Jiujiang University,25,3.0,China
Newcastle University,25,23.0,United Kingdom
Changchun University of Chinese Medicine,25,5.0,China
David Geffen School of Medicine,25,29.0,United States
Yulin University,25,3.0,China
Anhui Jianzhu University,25,3.0,China
Air Force Engineering University,25,1.0,China
Shandong Jianzhu University,25,1.0,China
Anhui Polytechnic University,25,3.0,China
Inner Mongolia University of Technology,25,0.0,China
University of Madras,25,10.0,India
Southwest Medical University,25,11.0,China
Yale University,25,17.0,United States
Najran University,25,7.0,Saudi Arabia
Aichi Gakuin University,25,11.0,Japan
Anhui University of Technology,25,5.0,China
Egyptian Petroleum Research Institute,25,16.0,Egypt
University of São Paulo,25,9.0,Brazil
Stanford University School of Medicine,25,22.0,United States
Shiraz University of Medical Sciences,25,31.0,Iran
Ohio State University,25,43.0,United States
Gyeongsang National University,24,5.0,South Korea
Anhui University,24,3.0,China
Sharif University of Technology,24,7.5,Iran
Ural Federal University,24,10.0,Kazakhstan
Chongqing University of Arts and Sciences,24,6.5,China
Imam Ja’afar Al-Sadiq University,24,11.0,India
University of Calcutta,24,15.0,India
Jining No. 1 People's Hospital,24,14.5,China
Isfahan University of Technology,24,10.0,Iran
